City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Vylkove,UA,45.4021,29.586,58.71,83,12,1.25,few clouds
1,Vostok,RU,46.4856,135.8833,59.7,40,65,3.53,broken clouds
2,Ushuaia,AR,-54.8,-68.3,28.06,100,75,20.71,light snow
3,Portland,US,45.5234,-122.6762,74.37,42,75,3.0,broken clouds
4,Bluff,NZ,-46.6,168.3333,49.8,69,100,13.87,light rain
5,Andenes,NO,69.3143,16.1194,44.08,81,20,13.8,few clouds
6,Khatanga,RU,71.9667,102.5,27.1,87,64,10.58,broken clouds
7,Mataura,NZ,-46.1927,168.8643,49.48,65,100,2.48,light rain
8,Olafsvik,IS,64.8945,-23.7142,45.84,86,66,5.7,broken clouds
9,Meulaboh,ID,4.1363,96.1285,78.06,85,100,9.26,overcast clouds
10,Punta Arenas,CL,-53.15,-70.9167,30.31,74,20,11.77,few clouds
11,Mattru,SL,7.6244,-11.8332,74.71,97,88,0.85,overcast clouds
12,Upernavik,GL,72.7868,-56.1549,31.3,93,100,10.0,overcast clouds
13,Havelock,US,34.8791,-76.9013,76.96,84,40,7.0,scattered clouds
14,Barra Do Garcas,BR,-15.89,-52.2567,75.04,64,15,5.28,few clouds
15,Ginda,IN,30.6945,78.4932,63.21,38,0,6.31,clear sky
16,Srednekolymsk,RU,67.45,153.6833,61.68,36,100,14.99,overcast clouds
17,Vila,PT,42.0304,-8.1588,52.34,81,79,3.65,broken clouds
18,Ribeira Grande,PT,38.5167,-28.7,59.86,68,85,14.07,overcast clouds
19,Barrow,US,71.2906,-156.7887,33.82,80,90,14.97,overcast clouds
20,Hobart,AU,-42.8794,147.3294,51.66,68,75,5.99,broken clouds
21,Volodarka,UA,49.5248,29.9122,54.55,97,30,2.17,scattered clouds
22,Hays,US,30.0502,-98.0336,82.96,78,8,7.0,clear sky
23,Butaritari,KI,3.0707,172.7902,83.59,79,74,18.86,light rain
24,Qaanaaq,GL,77.484,-69.3632,31.26,78,0,3.74,clear sky
25,Gat,IL,31.61,34.7642,72.39,58,0,1.41,clear sky
26,Atuona,PF,-9.8,-139.0333,79.61,75,77,13.47,light rain
27,Bela,IN,25.9333,81.9833,79.9,78,99,13.69,overcast clouds
28,Teahupoo,PF,-17.8333,-149.2667,76.96,73,49,8.05,scattered clouds
29,Tuatapere,NZ,-46.1333,167.6833,49.82,71,100,7.65,overcast clouds
30,Kapaa,US,22.0752,-159.319,83.19,70,75,1.99,broken clouds
31,Ibipeba,BR,-11.6408,-42.0111,65.43,87,73,4.94,broken clouds
32,Chuy,UY,-33.6971,-53.4616,53.74,81,17,10.54,few clouds
33,Cape Town,ZA,-33.9258,18.4232,55.11,89,100,4.81,overcast clouds
34,Hualmay,PE,-11.0964,-77.6139,66.07,90,36,5.48,scattered clouds
35,Hasaki,JP,35.7333,140.8333,64.69,90,100,15.59,moderate rain
36,Dikson,RU,73.5069,80.5464,28.67,96,100,13.47,light snow
37,Longyearbyen,SJ,78.2186,15.6401,33.64,80,75,12.66,broken clouds
38,Port Lincoln,AU,-34.7333,135.8667,60.71,65,100,6.31,overcast clouds
39,Chernyakhovsk,RU,54.6335,21.8156,48.74,95,89,11.68,overcast clouds
40,Ponta Do Sol,PT,32.6667,-17.1,67.01,77,100,4.47,overcast clouds
41,Seoul,KR,37.5683,126.9778,60.31,94,90,7.54,overcast clouds
42,Kodiak,US,57.79,-152.4072,54.91,58,1,4.61,clear sky
43,Hambantota,LK,6.1241,81.1185,79.14,89,40,24.65,scattered clouds
44,Hermanus,ZA,-34.4187,19.2345,54.9,75,100,4.43,overcast clouds
45,East London,ZA,-33.0153,27.9116,64.27,88,98,8.01,overcast clouds
46,Hilo,US,19.7297,-155.09,83.28,71,75,9.22,broken clouds
47,Albany,US,42.6001,-73.9662,68.72,89,81,4.27,moderate rain
48,Chokurdakh,RU,70.6333,147.9167,43.57,70,38,9.98,scattered clouds
49,Castro,BR,-24.7911,-50.0119,57.69,61,100,2.04,overcast clouds
